label,code,expansion
detailcm,1,ABANDONMENT OF A CHILD
detailcm,2,ABORTION
detailcm,3,ABSCONDING
detailcm,4,ADULTERY
detailcm,5,AGGRAVATED ASSAULT
detailcm,6,AGGRAVATED HARASSMENT
detailcm,7,AGGRAVATED SEXUAL ABUSE
detailcm,8,ARSON
detailcm,9,ASSAULT
detailcm,10,AUTO STRIPPING
detailcm,11,BIGAMY
detailcm,12,BRIBE RECEIVING
detailcm,13,BRIBERY
detailcm,14,BURGLARY
detailcm,15,COERCION
detailcm,16,COMPUTER  TAMPERING
detailcm,17,COMPUTER  TRESPASS
detailcm,18,COURSE OF SEXUAL CONDUCT
detailcm,19,CRIMINAL POSSESION OF STOLEN PROPERTY
detailcm,20,CRIMINAL POSSESSION OF WEAPON
detailcm,21,CREATING A HAZARD
detailcm,22,CRIMINAL CONTEMPT
detailcm,23,CRIMINAL MISCHIEF
detailcm,24,CRIMINAL POSSESION  OF CONTROLLED SUBSTANCE
detailcm,25,CRIMINAL POSSESSION  OF COMPUTER  MATERIAL
detailcm,26,CRIMINAL POSSESSION  OF FORGED INSTRUMENT
detailcm,27,CRIMINAL POSSESSION  OF MARIHUANA
detailcm,28,CRIMINAL SALE OF CONTROLLED SUBSTANCE
detailcm,29,CRIMINAL SALE OF MARIHUANA
detailcm,30,CRIMINAL TAMPERING
detailcm,31,CRIMINAL TRESPASS
detailcm,32,CUSTODIAL  INTERFERENCE
detailcm,33,EAVES DROPPING
detailcm,34,ENDANGER  THE WELFARE OF A CHILD
detailcm,35,ESCAPE
detailcm,36,FALSIFY BUSINESS RECORDS
detailcm,37,FORGERY
detailcm,38,FORGERY OF A VIN
detailcm,39,FORTUNE TELLING
detailcm,40,FRAUD
detailcm,41,FRAUDULENT ACCOSTING
detailcm,42,FRAUDULENT MAKE ELECTRONIC  ACCESS DEVICE
detailcm,43,FRAUDULENT OBTAINING A SIGNATURE
detailcm,44,GAMBLING
detailcm,45,GRAND LARCENY
detailcm,46,GRAND LARCENY AUTO
detailcm,47,HARASSMENT
detailcm,48,HAZING
detailcm,49,HINDERING  PROSECUTION
detailcm,50,INCEST
detailcm,51,INSURANCE  FRAUD
detailcm,52,ISSUE A FALSE CERTIFICATE
detailcm,53,ISSUE A FALSE FINANCIAL STATEMENT
detailcm,54,ISSUING ABORTION ARTICLES
detailcm,55,JOSTLING
detailcm,56,KIDNAPPING
detailcm,57,KILLING OR INJURING A POILCE ANIMAL
detailcm,58,LOITERING
detailcm,59,MAKING GRAFFITI
detailcm,60,MENACING
detailcm,61,MISAPPLICATION OF PROPERTY
detailcm,62,MURDER
detailcm,63,OBSCENITY
detailcm,64,OBSTRUCTING FIREFIGHTING OPERATIONS
detailcm,65,OBSTRUCTING GOVERNMENTAL ADMINISTRATION
detailcm,66,OFFERING A FALSE INSTRUMENT
detailcm,67,OFFICIAL MISCONDUCT
detailcm,68,PETIT LARCENY
detailcm,69,POSSESSION  OF BURGLAR TOOLS
detailcm,70,POSSESSION  OF EAVES DROPPING DEVICES
detailcm,71,POSSESSION  OF GRAFFITI INSTRUMENTS
detailcm,72,PROHIBITED  USE OF WEAPON
detailcm,73,PROMOTING  SUICIDE
detailcm,74,PROSTITUTION
detailcm,75,PUBLIC DISPLAY OF OFFENSIVE  SEXUAL MATERIAL
detailcm,76,PUBLIC LEWDNESS
detailcm,77,RAPE
detailcm,78,RECKLESS ENDANGERMENT
detailcm,79,RECKLESS ENDANGERMENT PROPERTY
detailcm,80,REFUSING TO AID A PEACE OR POLICE OFFICER
detailcm,81,RENT GOUGING
detailcm,82,RESISTING ARREST
detailcm,83,REWARD OFFICIAL MISCONDUCT
detailcm,84,RIOT
detailcm,85,ROBBERY
detailcm,86,SELF ABORTION
detailcm,87,SEXUAL ABUSE
detailcm,88,SEXUAL MISCONDUCT
detailcm,89,SEXUAL PERFORMANCE BY A CHILD
detailcm,90,SODOMY
detailcm,91,SUBSTITUTION OF CHILDREN
detailcm,92,TAMPERING  WITH A PUBLIC RECORD
detailcm,93,TAMPERING  WITH CONSUMER  PRODUCT
detailcm,94,TAMPERING  WITH PRIVATE COMMUNICATIONS
detailcm,95,TERRORISM
detailcm,96,THEFT OF SERVICES
detailcm,97,TRADEMARK  COUNTERFEITING
detailcm,98,UNLAWFULLY DEALING WITH FIREWORKS
detailcm,99,UNAUTHORIZED RECORDING
detailcm,100,UNAUTHORIZED USE OF A VEHICLE
detailcm,101,UNAUTHORIZED USE OF COMPUTER
detailcm,102,UNLAWFUL  ASSEMBLY
detailcm,103,UNLAWFUL  DUPLICATION OF COMPUTER  MATERIAL
detailcm,104,UNLAWFUL  POSSESSION  OF RADIO DEVICES
detailcm,105,"UNLAWFUL  USE OF CREDIT CARD, DEBIT CARD"
detailcm,106,UNLAWFUL  USE OF SECRET SCIENTIFIC  MATERIAL
detailcm,107,UNLAWFUL  WEARING A BODY VEST
detailcm,108,UNLAWFULL  IMPRISONMENT
detailcm,109,UNLAWFULLY DEALING WITH A CHILD
detailcm,110,UNLAWFULLY USE SLUGS
detailcm,111,VEHICULAR  ASSAULT
detailcm,112,OTHER
detailcm,113,FORCIBLE TOUCHING
