type,label,value,,,,,,
crimetype,Criminal Possession of Weapon,129580,,,,,,
crimetype,Robbery,116789,,,,,,
crimetype,Burglary,60042,,,,,,
crimetype,Grand Larceny Auto,44604,,,,,,
crimetype,Criminal Trespass,37898,,,,,,
crimetype,Grand Larceny,29714,,,,,,
crimetype,Criminal Possession of Marijuana,26182,,,,,,
crimetype,Assault,21175,,,,,,
crimetype,Petit Larceny,13505,,,,,,
crimetype,Criminal Possession of Controlled Substance,11788,,,,,,
crimetype,Criminal Sale of Controlled Substance,8759,,,,,,
crimetype,Making Graffiti,7265,,,,,,
crimetype,Criminal Mischief,5614,,,,,,
crimetype,Criminal Possession of Stolen Property,2643,,,,,,
crimetype,Theft of Services,1929,,,,,,
crimetype,Other,1882,,,,,,
crimetype,Criminal Sale of Marijuana,1844,,,,,,
crimetype,Terrorism,1844,,,,,,
crimetype,Prostitution,1844,,,,,,
crimetype,Autostripping,1091,,,,,,
