"datestop","num_stops","label"
2012-01-01,1314,"stops"
2012-01-02,1210,"stops"
2012-01-03,1620,"stops"
2012-01-04,1860,"stops"
2012-01-05,2462,"stops"
2012-01-06,3068,"stops"
2012-01-07,2788,"stops"
2012-01-08,1430,"stops"
2012-01-09,1842,"stops"
2012-01-10,2483,"stops"
2012-01-11,2579,"stops"
2012-01-12,2626,"stops"
2012-01-13,2704,"stops"
2012-01-14,2281,"stops"
2012-01-15,1539,"stops"
2012-01-16,1746,"stops"
2012-01-17,2440,"stops"
2012-01-18,2560,"stops"
2012-01-19,2286,"stops"
2012-01-20,2874,"stops"
2012-01-21,2108,"stops"
2012-01-22,1638,"stops"
2012-01-23,1743,"stops"
2012-01-24,2714,"stops"
2012-01-25,2756,"stops"
2012-01-26,2429,"stops"
2012-01-27,2983,"stops"
2012-01-28,2752,"stops"
2012-01-29,1833,"stops"
2012-01-30,1601,"stops"
2012-01-31,2556,"stops"
2012-02-01,2847,"stops"
2012-02-02,2566,"stops"
2012-02-03,2843,"stops"
2012-02-04,2570,"stops"
2012-02-05,1357,"stops"
2012-02-06,1615,"stops"
2012-02-07,2110,"stops"
2012-02-08,2430,"stops"
2012-02-09,2593,"stops"
2012-02-10,3200,"stops"
2012-02-11,2535,"stops"
2012-02-12,1740,"stops"
2012-02-13,1715,"stops"
2012-02-14,2044,"stops"
2012-02-15,2549,"stops"
2012-02-16,2256,"stops"
2012-02-17,2768,"stops"
2012-02-18,2532,"stops"
2012-02-19,1784,"stops"
2012-02-20,1903,"stops"
2012-02-21,2388,"stops"
2012-02-22,2561,"stops"
2012-02-23,2325,"stops"
2012-02-24,2230,"stops"
2012-02-25,2564,"stops"
2012-02-26,1808,"stops"
2012-02-27,1672,"stops"
2012-02-28,2516,"stops"
2012-02-29,1886,"stops"
2012-03-01,2048,"stops"
2012-03-02,2881,"stops"
2012-03-03,2633,"stops"
2012-03-04,1770,"stops"
2012-03-05,1609,"stops"
2012-03-06,2243,"stops"
2012-03-07,2706,"stops"
2012-03-08,2796,"stops"
2012-03-09,2932,"stops"
2012-03-10,2656,"stops"
2012-03-11,1765,"stops"
2012-03-12,2091,"stops"
2012-03-13,2280,"stops"
2012-03-14,2517,"stops"
2012-03-15,2393,"stops"
2012-03-16,2610,"stops"
2012-03-17,2469,"stops"
2012-03-18,1771,"stops"
2012-03-19,1780,"stops"
2012-03-20,2148,"stops"
2012-03-21,2248,"stops"
2012-03-22,2514,"stops"
2012-03-23,2650,"stops"
2012-03-24,2258,"stops"
2012-03-25,1494,"stops"
2012-03-26,1636,"stops"
2012-03-27,2009,"stops"
2012-03-28,1932,"stops"
2012-03-29,1985,"stops"
2012-03-30,2086,"stops"
2012-03-31,1942,"stops"
2012-04-01,1500,"stops"
2012-04-02,1615,"stops"
2012-04-03,1880,"stops"
2012-04-04,2199,"stops"
2012-04-05,2238,"stops"
2012-04-06,2348,"stops"
2012-04-07,2363,"stops"
2012-04-08,1362,"stops"
2012-04-09,1445,"stops"
2012-04-10,1921,"stops"
2012-04-11,2023,"stops"
2012-04-12,2035,"stops"
2012-04-13,2143,"stops"
2012-04-14,1938,"stops"
2012-04-15,1493,"stops"
2012-04-16,1470,"stops"
2012-04-17,1876,"stops"
2012-04-18,2016,"stops"
2012-04-19,2102,"stops"
2012-04-20,2595,"stops"
2012-04-21,2129,"stops"
2012-04-22,1062,"stops"
2012-04-23,1322,"stops"
2012-04-24,1446,"stops"
2012-04-25,2108,"stops"
2012-04-26,1888,"stops"
2012-04-27,2104,"stops"
2012-04-28,2095,"stops"
2012-04-29,1321,"stops"
2012-04-30,1461,"stops"
2012-05-01,1572,"stops"
2012-05-02,1806,"stops"
2012-05-03,1952,"stops"
2012-05-04,1973,"stops"
2012-05-05,1883,"stops"
2012-05-06,1394,"stops"
2012-05-07,1213,"stops"
